name,shop,host2_shop_url,host2_profile_url,photo_source_url,shop_monthly_rank,collected_at,host2_monthly_rank,shop_listed_hosts,tiktok_top30_exact_match,national_popularity_score,x_profile_url,selection_note,selection_score,host2_area,photo_face_check
景虎,UNIVERSE -core-,https://www.host2.jp/shop/universecore/index.html,https://www.host2.jp/shop/universecore/kagetora/index.html,https://www.host2.jp/shop/universecore/kagetora/pr01-thum.jpg,1,2026-09-24,1,46,,,https://x.com/universe__core,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",592,大阪／ミナミホストクラブ,unknown
陸翔,club THE STINGER,https://www.host2.jp/shop/clubthestinger1/index.html,https://www.host2.jp/shop/clubthestinger1/rikuto/index.html,https://www.host2.jp/shop/clubthestinger1/rikuto/pr01-thum.jpg,1,2026-09-24,1,46,,,,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",592,福岡／中洲・天神ホストクラブ,unknown
飛龍,ALLWHITE TERRACE,https://www.host2.jp/shop/allwhiteterrace/index.html,https://www.host2.jp/shop/allwhiteterrace/hiryu/index.html,https://www.host2.jp/shop/allwhiteterrace/hiryu/pr01-thum.jpg,1,2026-09-24,1,46,,,,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",592,歌舞伎町ホストクラブ,unknown
李 音咒,HIGHCLASS,https://www.host2.jp/shop/highclass/index.html,https://www.host2.jp/shop/highclass/injl/index.html,https://www.host2.jp/shop/highclass/injl/pr01-thum.jpg,1,2026-09-24,1,45,,,,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",590,愛知／名古屋ホストクラブ,unknown
一ノ瀬 周,TOP DANDY -朝TOP-,https://www.host2.jp/shop/topdandy2/index.html,https://www.host2.jp/shop/topdandy2/shu02/index.html,https://www.host2.jp/shop/topdandy2/shu02/pr01-thum.jpg,1,2026-09-24,1,44,,,https://x.com/topdandy100,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",588,歌舞伎町ホストクラブ,unknown
五十嵐 俊,MILDROUS,https://www.host2.jp/shop/mildrous/index.html,https://www.host2.jp/shop/mildrous/syun/index.html,https://www.host2.jp/shop/mildrous/syun/pr01-thum.jpg,1,2026-09-24,1,43,,,https://x.com/igashun0520,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",586,歌舞伎町ホストクラブ,unknown
桐生魁志,LEGEND,https://www.host2.jp/shop/legenda/index.html,https://www.host2.jp/shop/legenda/kaiji/index.html,https://www.host2.jp/shop/legenda/kaiji/pr01-thum.jpg,1,2026-09-24,1,43,,,https://x.com/LEGENDA0601,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",586,大阪／ミナミホストクラブ,unknown
琉生,NIRVANA,https://www.host2.jp/shop/nirvana/index.html,https://www.host2.jp/shop/nirvana/rui/index.html,https://www.host2.jp/shop/nirvana/rui/pr01-thum.jpg,1,2026-09-24,1,43,,,,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",586,北海道／ススキノホストクラブ,unknown
輝利人,AIR,https://www.host2.jp/shop/air/index.html,https://www.host2.jp/shop/air/kirito3/index.html,https://www.host2.jp/shop/air/kirito3/pr01-thum.jpg,1,2026-09-24,1,43,,,https://x.com/Club_AIR_,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",586,歌舞伎町ホストクラブ,unknown
TAKERU,ETERNAL,https://www.host2.jp/shop/eternalosaka/index.html,https://www.host2.jp/shop/eternalosaka/takeru/index.html,https://www.host2.jp/shop/eternalosaka/takeru/pr01-thum.jpg,1,2026-09-24,1,42,,,https://x.com/ETERNALofficia4,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",584,大阪／ミナミホストクラブ,unknown
