name,shop,host2_shop_url,host2_profile_url,photo_source_url,shop_monthly_rank,collected_at,selection_score,shop_listed_hosts,sns_tiktok_top30_match,external_popularity_signal,selection_basis
仁,LIFDRASIR,https://www.host2.jp/shop/lifdrasir/index.html,https://www.host2.jp/shop/lifdrasir/jin/index.html,https://www.host2.jp/shop/lifdrasir/jin/pr01-thum.jpg,1,2026-09-24,584,42,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
桜咲皐月,TOP1ONE,https://www.host2.jp/shop/topone/index.html,https://www.host2.jp/shop/topone/satsuki/index.html,https://www.host2.jp/shop/topone/satsuki/pr01-thum.jpg,1,2026-09-24,584,42,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
橘 唯人,FATE,https://www.host2.jp/shop/fate/index.html,https://www.host2.jp/shop/fate/yuito/index.html,https://www.host2.jp/shop/fate/yuito/pr01-thum.jpg,1,2026-09-24,584,42,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
海空 陸,ARTEMIS,https://www.host2.jp/shop/artemis02/index.html,https://www.host2.jp/shop/artemis02/riku/index.html,https://www.host2.jp/shop/artemis02/riku/pr01-thum.jpg,1,2026-09-24,584,42,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
結夜,goofee,https://www.host2.jp/shop/goofee/index.html,https://www.host2.jp/shop/goofee/yuya/index.html,https://www.host2.jp/shop/goofee/yuya/pr01-thum.jpg,1,2026-09-24,584,42,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
翔,ALL BLACK,https://www.host2.jp/shop/allblack1/index.html,https://www.host2.jp/shop/allblack1/sho03/index.html,https://www.host2.jp/shop/allblack1/sho03/pr01-thum.jpg,1,2026-09-24,584,42,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
成瀬ねお（ねおぴ）,MINERVA -TOKYO-,https://www.host2.jp/shop/minerva/index.html,https://www.host2.jp/shop/minerva/neo/index.html,https://www.host2.jp/shop/minerva/neo/pr01-thum.jpg,1,2026-09-24,582,41,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
流星,UNIVERSE -LUX-,https://www.host2.jp/shop/universelux/index.html,https://www.host2.jp/shop/universelux/ryusei/index.html,https://www.host2.jp/shop/universelux/ryusei/pr01-thum.jpg,1,2026-09-24,582,41,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
神夜ノア,ICE,https://www.host2.jp/shop/ice_hiroshima/index.html,https://www.host2.jp/shop/ice_hiroshima/noa/index.html,https://www.host2.jp/shop/ice_hiroshima/noa/pr01-thum.jpg,1,2026-09-24,582,41,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
凛音,REGOLITH -本店-,https://www.host2.jp/shop/regolith/index.html,https://www.host2.jp/shop/regolith/rion/index.html,https://www.host2.jp/shop/regolith/rion/pr01-thum.jpg,1,2026-09-24,580,40,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
