name,shop,host2_shop_url,host2_profile_url,photo_source_url,shop_monthly_rank,collected_at,selection_score,shop_listed_hosts,sns_tiktok_top30_match,external_popularity_signal,selection_basis
優生,THE RICHARD,https://www.host2.jp/shop/richard/index.html,https://www.host2.jp/shop/richard/yui/index.html,https://www.host2.jp/shop/richard/yui/pr01-thum.jpg,1,2026-09-24,570,35,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
徳川流一,THE CLUB -本店-,https://www.host2.jp/shop/theclub2/index.html,https://www.host2.jp/shop/theclub2/ryuichi/index.html,https://www.host2.jp/shop/theclub2/ryuichi/pr01-thum.jpg,1,2026-09-24,570,35,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
海瞳優真,Luminous,https://www.host2.jp/shop/luminous/index.html,https://www.host2.jp/shop/luminous/yuma/index.html,https://www.host2.jp/shop/luminous/yuma/pr01-thum.jpg,1,2026-09-24,570,35,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
湊音かをる,Dear's CROWN,https://www.host2.jp/shop/dearscrown/index.html,https://www.host2.jp/shop/dearscrown/minato/index.html,https://www.host2.jp/shop/dearscrown/minato/pr01-thum.jpg,1,2026-09-24,570,35,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
V,AXEL by ACQUA,https://www.host2.jp/shop/axel/index.html,https://www.host2.jp/shop/axel/v/index.html,https://www.host2.jp/shop/axel/v/pr01-thum.jpg,1,2026-09-24,568,34,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
とわ,Cruise,https://www.host2.jp/shop/cruise/index.html,https://www.host2.jp/shop/cruise/towa2/index.html,https://www.host2.jp/shop/cruise/towa2/pr01-thum.jpg,1,2026-09-24,568,34,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
天使かいと,GRAN -TOKYO-,https://www.host2.jp/shop/gran4/index.html,https://www.host2.jp/shop/gran4/kaito/index.html,https://www.host2.jp/shop/gran4/kaito/pr01-thum.jpg,1,2026-09-24,568,34,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
如月星夜,Real,https://www.host2.jp/shop/real_ehime/index.html,https://www.host2.jp/shop/real_ehime/seiya/index.html,https://www.host2.jp/shop/real_ehime/seiya/pr01-thum.jpg,1,2026-09-24,568,34,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
空条咲希,JEALOUS,https://www.host2.jp/shop/jealous/index.html,https://www.host2.jp/shop/jealous/saki2/index.html,https://www.host2.jp/shop/jealous/saki2/pr01-thum.jpg,1,2026-09-24,568,34,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
轟メルト,CENTURY TOKYO,https://www.host2.jp/shop/century02/index.html,https://www.host2.jp/shop/century02/merusedesu/index.html,https://www.host2.jp/shop/century02/merusedesu/pr01-thum.jpg,1,2026-09-24,568,34,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
零王,CODE,https://www.host2.jp/shop/code/index.html,https://www.host2.jp/shop/code/reo1/index.html,https://www.host2.jp/shop/code/reo1/pr01-thum.jpg,1,2026-09-24,568,34,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
